name,red,green,blue,alpha,id
Unknown,246,112,136,255,0
Sky,135,206,235,255,1
Tree,0,108,0,255,2
Water,0,0,225,255,3
Ground,139,69,19,255,4
Sidewalk,220,220,220,255,5
Road,100,100,100,255,6
Vehicle,0,255,255,255,7
Building,186,85,211,255,8
Signal,201,145,49,255,9
Rock,0,0,0,255,10
Fence,49,178,65,255,11
Boat,246,109,158,255,12
Sign,247,115,111,255,13
Slope,225,225,0,255,14
Bridge,56,167,206,255,15
Wall,75,0,130,255,16
Floor,128,128,128,255,17
Ceiling,54,171,176,255,18
Door,145,146,244,255,19
Stairs,215,139,49,255,20
Structure,245,100,209,255,21
Window,255,120,120,255,22
Shelf,53,173,159,255,23
Plant,0,255,0,255,24
Bed,51,175,125,255,25
Storage,154,162,49,255,26
Table,225,0,225,255,27
Chair,62,161,244,255,28
Wall_Decoration,191,128,244,255,29
Couch,225,0,0,255,30
Light,235,99,244,255,31
Appliance,244,95,229,255,32
Thing,52,174,139,255,33
Deformable,247,117,70,255,34
Dynamic_NonHuman,114,153,244,255,35
Human,58,165,222,255,36
