name,red,green,blue,alpha,id
Keurig_low,9,118,90,255,9
CoffeeMaker_low,9,118,90,255,9
Carafe_low,9,118,90,255,9
CardboardBox01,9,118,90,255,9
Kallax_Box5,9,118,90,255,9
Closet_Metal,7,106,60,255,7
Closet_Door_R,7,106,60,255,7
Closet_Door_L,7,106,60,255,7
W_3x,2,222,110,255,2
TableWooden_B,5,81,38,255,5
W_6x_Door,2,222,110,255,2
Soderhamn_Pillows2,8,179,10,255,8
Soderhamn_Pillows3,8,179,10,255,8
Soderhamn_Pillows5,8,179,10,255,8
Soderhamn_Pillows1,8,179,10,255,8
Soderhamn,8,179,10,255,8
Soderhamn_Pillows4,8,179,10,255,8
Soderhamn_Pillows6,8,179,10,255,8
Paper02,9,118,90,255,9
CeilingLamp_Embed,1,155,211,255,1
Alu_Chair,6,229,176,255,6
Door_Metal_Gray,4,218,221,255,4
Couch_Fabric_1seat,8,179,10,255,8
KitchenChair_Wooden,6,229,176,255,6
Books2,9,118,90,255,9
Books2_1,9,118,90,255,9
Books2_4,9,118,90,255,9
Hemnes_Shelf,7,106,60,255,7
Book_Set,9,118,90,255,9
Books,9,118,90,255,9
Books2_7,9,118,90,255,9
Book_3,9,118,90,255,9
Book_2,9,118,90,255,9
Book_1,9,118,90,255,9
Book_A,9,118,90,255,9
Book_C,9,118,90,255,9
FP_Vase_B,9,118,90,255,9
Dresser_A,7,106,60,255,7
Folder01,9,118,90,255,9
FolderHolder_WithFiles,9,118,90,255,9
Folder02,9,118,90,255,9
Door_Wooden_Black,4,218,221,255,4
W_1x,2,222,110,255,2
Paper,9,118,90,255,9
CorkBoard,2,222,110,255,2
Sticker01,9,118,90,255,9
Sticker03,9,118,90,255,9
Sticker02,9,118,90,255,9
TableScreen_C,5,81,38,255,5
W_6x,2,222,110,255,2
Phone,9,118,90,255,9
W_3x_Window_Large_A,2,222,110,255,2
TableSet_Coffe,9,118,90,255,9
Garage_Cardbox,9,118,90,255,9
Painting_Photo_C,2,222,110,255,2
Plant_InteriorHouse_Aglaonema,9,118,90,255,9
WhiteBoard_Walll,2,222,110,255,2
W_Pilar_Small,2,222,110,255,2
Pencil,9,118,90,255,9
File_Papers,9,118,90,255,9
LP_Magazine,9,118,90,255,9
Book_Magazine,9,118,90,255,9
KP_Coffee_Mug,9,118,90,255,9
Book_B,9,118,90,255,9
A_Newspaper,9,118,90,255,9
MetalCabinet,7,106,60,255,7
Door_L,7,106,60,255,7
Door_R,7,106,60,255,7
Drawer_B,7,106,60,255,7
Files_Drawer_Openable,7,106,60,255,7
Drawer_A,7,106,60,255,7
Picture6,9,118,90,255,9
Frame6,9,118,90,255,9
AirventilationGrid_A,1,155,211,255,1
Skogsta,5,81,38,255,5
W_3x_Door,2,222,110,255,2
SideTableDark_Large,7,106,60,255,7
Painting_Diploma,2,222,110,255,2
NightTable_Drawer,7,106,60,255,7
NightTable_Door_A,7,106,60,255,7
NightTable_Door_B,7,106,60,255,7
NightTable,7,106,60,255,7
Mac,9,118,90,255,9
PaperBag01,9,118,90,255,9
Plant_InteriorHouse_Yucca,9,118,90,255,9
TableWooden,5,81,38,255,5
Kallax_Box4,9,118,90,255,9
FileFolder,9,118,90,255,9
Lamp_Table,9,118,90,255,9
Painting_Pic,2,222,110,255,2
Stockholm_Bowl,9,118,90,255,9
Books2_3,9,118,90,255,9
Carpet_Bronden,0,171,143,255,0
D_TV_Wall,2,222,110,255,2
TableSet_WoodDish,9,118,90,255,9
Table_Flag,9,118,90,255,9
Bookshelf,7,106,60,255,7
Garage_PlasticBox,9,118,90,255,9
Vases3_4,9,118,90,255,9
KitchenChair_Fabric,6,229,176,255,6
Picture2,2,222,110,255,2
Frame2,2,222,110,255,2
Ypperlig_Table,5,81,38,255,5
Desk_Drawer,5,81,38,255,5
Desk,5,81,38,255,5
Mac_Keyboard,9,118,90,255,9
Plant_Inside_Large,9,118,90,255,9
Kallax_Box1,9,118,90,255,9
Board_Glass,9,118,90,255,9
Board_Low,2,222,110,255,2
Book_Open,9,118,90,255,9
Box_Black,9,118,90,255,9
MetalCabinet_GridDoors,7,106,60,255,7
Mac_Mouse,9,118,90,255,9
Painting_Photo_A,9,118,90,255,9
SideTable_Door_R,7,106,60,255,7
SideTable_Door_L,7,106,60,255,7
SideTable_Large,7,106,60,255,7
Graphics,9,118,90,255,9
