name,red,green,blue,alpha,id
Graphics,244,74,215,255,0
Mirror_Floor,225,121,28,255,0
Books,15,18,194,255,2
Strala,117,122,95,255,11
Strala_Bulb,212,90,129,255,11
Strala_Cable,228,148,186,255,11
Kragsta_Short,205,158,166,255,16
Props_Vase2,34,32,78,255,6
Scatter_Rocks_Grey_Sharp_Rough_MRGSR3452_3,250,74,32,255,3
Sinnersro_Short,41,51,214,255,6
Lyster,217,88,140,255,6
Sinnersro_Tall,94,33,136,255,6
Foto,38,183,250,255,11
Strandmon_Pillow,152,163,177,255,5
Strandmon,179,9,126,255,5
Book,211,33,160,255,2
Trunk_LOD0,84,145,33,255,8
Branches,121,203,112,255,8
Thorn,230,185,44,255,8
Plastic_Chair_Seat,121,147,63,255,5
Plastic_Chair_Leg,2,30,24,255,5
Candles_Set_Short,21,14,251,255,0
Ivy2,14,27,78,255,13
Bjursta,113,65,150,255,16
Eket_1X1,0,56,229,255,9
Books2_3,38,120,95,255,2
Books2_5,154,220,16,255,2
Cardboard2,211,245,186,255,1
Ypperlig,83,206,152,255,16
Bed_Bottom,11,46,254,255,9
Books2,244,51,229,255,2
Candles_Set_Pot,158,86,45,255,0
Frames_Pillar,73,172,120,255,4
Glass_Exterior08,120,21,61,255,0
Glass_Exterior07,79,191,195,255,0
Glass_Exterior06,4,168,29,255,0
Glass_Exterior05,234,92,226,255,0
Glass_Exterior11,16,209,253,255,0
Glass_Exterior10,171,127,215,255,0
Glass_Exterior09,172,230,18,255,0
Glass_Interior03,28,21,212,255,0
Glass_Interior02,104,143,192,255,0
Glass_Interior01,109,128,140,255,0
Glass_Interior07,216,126,50,255,0
Glass_Interior06,24,105,14,255,0
Glass_Interior05,217,240,132,255,0
Glass_Interior04,107,244,35,255,0
Frames_Interior08,91,5,254,255,19
Frames_Interior07,236,85,247,255,19
Frames_Interior06,126,219,36,255,19
Frames_Interior05,64,57,54,255,19
Frames_Interior12,107,186,216,255,19
Frames_Interior11,224,82,40,255,19
Frames_Interior10,220,138,37,255,19
Frames_Interior09,12,222,219,255,19
Glass_Exterior00,179,152,188,255,0
Frames_Interior15,245,225,43,255,19
Frames_Interior14,24,169,177,255,19
Frames_Interior13,253,162,45,255,19
Glass_Exterior04,21,79,114,255,0
Glass_Exterior03,69,21,86,255,0
Glass_Exterior02,178,192,199,255,0
Glass_Exterior01,116,119,143,255,0
Frames_Exterior11,15,1,250,255,19
Frames_Exterior10,74,244,33,255,19
Frames_Exterior09,99,242,122,255,19
Frames_Exterior08,46,162,149,255,19
Frames_Exterior15,113,33,226,255,19
Frames_Exterior14,215,183,13,255,19
Frames_Exterior13,46,14,97,255,19
Frames_Exterior12,213,193,160,255,19
Frames_Interior00,50,226,149,255,19
Frames_Exterior18,103,163,25,255,19
Frames_Exterior17,214,78,164,255,19
Frames_Exterior16,4,189,3,255,19
Frames_Interior04,90,169,0,255,19
Frames_Interior03,64,141,226,255,19
Frames_Interior02,247,165,186,255,19
Frames_Interior01,96,172,192,255,19
Frames_Exterior03,242,175,106,255,19
Frames_Exterior02,0,119,219,255,19
Frames_Exterior01,98,161,118,255,19
Frames_Exterior00,230,207,134,255,19
Frames_Exterior07,10,97,25,255,19
Frames_Exterior06,31,48,165,255,19
Frames_Exterior05,105,107,116,255,19
Frames_Exterior04,8,165,178,255,19
Glass_Kitchen03,218,29,159,255,0
Glass_Interior11,126,26,30,255,0
Glass_Interior10,114,247,86,255,0
Glass_Interior09,106,215,185,255,0
Glass_Interior08,30,129,71,255,0
Glass_Interior13,226,206,219,255,0
Glass_Interior12,7,218,253,255,0
Glass_Exterior19,70,60,232,255,0
