#NOTE: most objects use renderer centroid position. collider or mesh centroid is used where no renderer is available, which is similar. otw we use transform.position which is not guaranteed to be the centroid. check comment col for notes.
#name,x,y,z,qx,qy,qz,qw,comment
Books,-3.5785,1.23911,-2.3386,0.7071068,0.7071068,1.545431E-08,1.545431E-08,
Selje,3.4419,3.291732,0.9940001,-0.5,0.5,0.5,0.5,
Cardboard,2.540775,0.5688604,-4.049972,-0.7071068,0,0,0.7071068,
Branches,-10.40569,2.079712,-4.820825,0.6655359,-0.2388758,0.2388757,0.6655365,
Books,-9.502,1.868635,-7.273,-0.7071068,0,0,0.7071068,
Stones1,5.3732,0.0025,-7.215,-0.7071068,0,0,0.7071068,
Books,4.0834,3.643404,-2.5251,-0.5,-0.5,-0.5,0.5,
Hemnes_Drawer,4.051982,4.0012,-3.38,-0.5,-0.5,-0.5,0.5,
Elvengen_Glass,-0.8781484,4.594149,-3.228463,-0.7071068,0,0,0.7071068,
Elvengen,-0.8781483,4.492586,-3.174136,-0.7071068,0,0,0.7071068,
Elvengen,-0.878,4.503,-3.1902,0,0,0,1,transform_position
Skogsta,-9.894,1.331,-4.817999,-2.837897E-07,0.7071071,-0.7071066,-1.601553E-07,
Books,-16.933,1.859061,-2.5284,-0.5,-0.5,-0.5,0.5,
Books2_7 (1),-2.956972,0.8912762,1.628422,0.4999626,0.4999626,-0.5000376,-0.5000376,
Riggad,-2.381276,3.936849,-0.9830207,-0.6728903,0.2172987,0.2172987,0.6728903,
Books2_3 (1),-2.95187,2.166759,1.633011,-0.4999664,-0.4999663,0.5000339,0.5000337,
Frosta,-3.387,3.240621,-4.202,-0.5416752,-0.4545195,-0.4545195,0.5416752,
Books,0.01468971,3.783497,-0.5982804,-0.500038,-0.4999621,-0.4999621,0.500038,
Stockholm_Suspension_Glass,-10.398,2.647927,-4.8231,-0.5254827,0.4731469,0.4731468,0.5254827,
Stockholm_Suspension_Cable,-10.39752,3.359644,-4.821344,-0.5254827,0.4731469,0.4731469,0.5254827,
Stockholm_Suspension,-10.398,2.646978,-4.8231,-0.5254827,0.4731469,0.4731468,0.5254827,
Stockholm_Suspension,-10.398,2.522,-4.8231,0,0,0,1,transform_position
Livslang_Tall,-14.89374,1.517944,-4.87574,-0.7071068,0,0,0.7071068,
Livslang_Short,-14.7527,1.465986,-4.89208,-0.7071068,0,0,0.7071068,
Livslang,-14.757,1.4319,-4.825,0,0,0,1,transform_position
Books,0.01465895,3.783497,-0.7860291,-0.500038,-0.4999621,-0.4999621,0.500038,
Sinnersro_Tall,-16.792,2.51434,-0.552,-0.5000001,0.5000001,0.5000001,0.5000001,
Sinnersro_Short,-16.79,2.450204,-0.135,-0.5000001,0.5000001,0.5000001,0.5000001,
Lyster,-16.793,2.444047,-0.349,-0.5000001,0.5000001,0.5000001,0.5000001,
Sinnesro,-16.79,2.363816,-0.487,0,0.7071068,0,0.7071068,transform_position
Frame,0.1517469,1.671,-2.779,-0.7071068,2.145022E-05,-0.7071068,2.145022E-05,
SilverBirchTrunk_01_LOD0,8.753303,3.603035,-8.017554,1.276456E-07,-0.5064989,7.49818E-08,0.8622407,
SilverBirchBranches_01_LOD0,8.832981,6.056849,-7.731542,1.276456E-07,-0.5064989,7.49818E-08,0.8622407,
SilverBirch_01_Vertex,8.947472,-0.8635781,-7.960582,7.023844E-08,-0.5064989,4.125959E-08,0.8622407,transform_position
Hemnes_Drawer,4.051982,4.0012,-1.58,-0.5,-0.5,-0.5,0.5,
Alu_Chair,-1.653,3.442944,-0.2792037,0,0.7071068,0.7071068,0,
Book,-16.94271,1.693116,-6.3441,0.7071068,0.7071068,1.545431E-08,1.545431E-08,
Books,-1.061801,3.655865,1.554,-0.7071068,-9.685753E-08,-1.094214E-07,0.7071068,
Books,-15.8874,1.497116,-6.6609,0,0,0.7071068,0.7071068,
Book,-16.92361,2.424298,-4.5729,-0.5000001,-0.5,0.5000001,0.5,
Net2_Wire,-7.371026,2.150389,1.770007,-0.7071068,0,0,0.7071068,
Net2_Hooks,-7.371027,2.150389,1.829209,-0.7071068,-6.181725E-08,-6.181725E-08,0.7071068,
Net1_Wire,-1.707511,1.970431,-7.372569,-0.7071068,0,0,0.7071068,
Net1_Hooks,-1.70751,1.970432,-7.43177,-0.7071068,0,0,0.7071068,
AVP6_Net,0,0,0,0,0,0,1,transform_position
Props_Vase,-16.992,2.534005,-3.014441,-0.7071068,0,0,0.7071068,
Jorid_Tray,-14.404,1.359856,-5.224645,-0.6532816,-0.2705981,-0.2705981,0.6532816,
Jorid,-14.40373,1.18005,-5.211267,-0.6532816,-0.2705981,-0.2705981,0.6532816,
Jorid,-14.404,0.9818,-5.211,0,-0.3826834,0,0.9238796,transform_position
Ypperlig_Chair,-13.9213,1.37656,0.5482486,0.006013152,0.7070813,0.7070813,-0.006013294,
Alseda,-13.135,1.068451,-5.288544,-0.7071068,0,0,0.7071068,
Books2_1 (1),-2.316073,1.127489,1.630924,-0.7071068,5.298853E-05,5.298853E-05,0.7071068,
