name,red,green,blue,alpha,id
Graphics,57,177,210,255,0
Lamp_Wall_Box,173,79,56,255,11
Fence_Backyard_Tile,247,111,254,255,2
Floor_Grass_8x8,60,238,80,255,3
Tree_Groundplane,56,191,154,255,8
Tree_Grate,121,199,74,255,8
FenceDark_Backyard_Tile,209,191,220,255,2
Plant_FlowersWhite,211,251,16,255,13
Flag_Usa,39,48,156,255,4
Plant_Climber_Short,160,245,208,255,13
Fence_Frontyard_Tile_Left_2x,159,171,215,255,2
Background_Bush_6x,34,74,185,255,13
Lamp_Garden_Small,36,113,187,255,11
Lamp_Garden_Pilar,99,26,95,255,11
Street_Sign,241,51,27,255,14
Road_Corner,217,148,88,255,3
Floor_Grass_2x8,119,21,148,255,13
Fence_Frontyard_Tile_Right_2x,82,139,58,255,2
Roof_End_7x,249,226,168,255,4
Plant_Grass,177,88,209,255,13
Tree_Billboard,199,168,131,255,8
Road_8x,96,42,78,255,3
Flowerbed_Low_2x,174,86,136,255,13
Plant_HedgeBush,74,32,53,255,13
Plant_Drygrass,120,190,132,255,13
Flower_Red_02,82,12,57,255,13
WallDown_3x,55,241,244,255,4
Fence_Frontyard_End,235,124,154,255,2
Plant_Grass_Small,161,180,155,255,13
Fence_Backyard_End,110,68,141,255,2
Porch_Floor_3x2,174,188,49,255,4
Plant_FlowersRed,129,138,146,255,13
Plant_Bush_B,129,170,188,255,13
Roof_5x,234,133,13,255,4
PowerLine_Short,9,90,78,255,0
Tree_Background,73,200,94,255,8
Lamp_WireHanging_2x,191,213,139,255,11
Road_4x,136,48,197,255,3
Stone_C,113,152,103,255,13
Porch_Rail_2x,178,177,180,255,4
Plant_Box_D,106,239,8,255,13
Roof_7x,104,219,1,255,4
Plant_FlowersRedBush,133,151,102,255,13
Road_Walkway,79,57,45,255,6
Porch_4x,69,44,222,255,4
Plant_FlowersYellow,95,122,166,255,13
TreeSmall_Static,53,101,23,255,8
Plant_Brownhay,77,112,218,255,13
Fence_Frontyard_Tile_Left_1x,186,59,65,255,2
FlowerPot_Hanging,50,35,243,255,13
Floor_Grass_45x45,159,215,42,255,13
Mailbox,37,2,216,255,0
Plant_Bush,121,229,221,255,13
Plant_Drygrass_Set,215,49,105,255,13
Flower_Yellow_02,217,199,162,255,13
Plant_Lily,5,169,201,255,13
Lamp_Street_High,56,53,24,255,11
Plant_Box_Hanging,223,181,61,255,13
Whl,12,222,2,255,0
body,87,64,32,255,0
FlowerPot,115,191,189,255,13
Flower_Yellow_01,111,220,247,255,13
Floor_Grass_4x8,31,247,219,255,13
Flowerbed_High_7x,218,76,29,255,13
Plant_TallGrass,112,226,78,255,13
Ground_Moss_Tiled,9,233,21,255,13
Ground_Moss_Stones,65,140,79,255,13
Flowerbed_Round,237,240,201,255,13
Stone_D,50,99,5,255,13
Plant_Punjab,33,183,7,255,13
Trashbin,237,188,192,255,18
Trashbin_Lid,91,74,80,255,18
WallDown_Window_Double_B_3x,70,159,134,255,4
WallDown_Corner_Out,146,126,246,255,4
Roof_End_5xaaasd,190,189,48,255,4
Plant_Box_B,123,226,87,255,13
AirVentGrid,71,249,229,255,4
Plant_Treebush,177,210,96,255,13
Roof_End_5x,92,128,31,255,4
Porch_Pilar,247,194,250,255,4
Roof_8x,82,42,25,255,4
Door_Paneled,69,109,7,255,4
Door_Garage_5x,24,159,177,255,4
Roof_End_8x,203,115,146,255,4
WallUp_Window_Double_4x,249,2,65,255,4
WallUp_Corner_Out,173,212,222,255,4
Roof_UnderPlanks_Porch,13,248,206,255,4
WallDown_1x,233,167,18,255,4
Drainpipe_2story,99,49,175,255,4
Drainpipe_1story,40,187,248,255,4
Wall_Door_Single_A_1x,236,52,197,255,4
WallUp_A_3x,107,179,2,255,4
WallUp_A_1x,27,187,230,255,4
Porch_End_Left_4x,85,133,55,255,4
WallUp_Window_Single_3x,174,225,192,255,4
WallDown_Window_Single_3x,88,57,159,255,4
WallDown_Window_Double_3x,124,115,55,255,4
Wall_Door_Garage_B_5x,97,127,64,255,4
WallUp_A_½x,27,181,113,255,4
Porch_End_Right_4x,73,89,33,255,4
Roof_End_Window_A_7x,164,186,96,255,4
WallDown_Corner_In,14,72,4,255,4
WallDown_Window_Double_4x,183,224,244,255,4
WallDown_2x,251,89,202,255,4
WallDown_Window_Single_B_3x,81,48,254,255,4
WallUp_A_2x,14,71,152,255,4
Porch_Rail_1x,200,24,25,255,4
Wall_Door_Single_B_3x,99,186,134,255,4
WallUp_Window_SingleSmall_3x,16,15,104,255,4
Wall_Chimney,251,99,50,255,4
Trashbag,241,153,59,255,18
Lamp_Wirehanging_3x,86,115,161,255,11
Background_House_B,111,185,131,255,4
Flower_Red_01,97,121,64,255,13
Claypot,185,180,120,255,13
Background_House_A,115,161,78,255,4
Road_Driveway,168,72,62,255,3
Plant_Box_C,74,47,183,255,13
Lamp_Wall_Original,48,205,69,255,11
Stone_B,34,146,95,255,13
Plant_Fern,254,69,153,255,13
Fence_Frontyard_Tile_Right_1x,86,92,111,255,2
FenceDark_Frontyard_End,17,114,202,255,2
FenceDark_Frontyard_Tile_Right_2x,91,204,208,255,2
Lamp_Street_Low,99,70,20,255,11
Wall_Door_Single_C_3x,227,246,240,255,4
Road_Walkway_Piece,172,76,64,255,6
Plant_Climber_Long,183,64,82,255,13
Door_White,192,162,207,255,4
FenceDark_Backyard_End,10,253,52,255,2
PowerPole_Transformer,236,238,36,255,11
PowerPole,181,15,157,255,11
Floor_Grass_1x4,138,235,238,255,13
Flowerbed_6x_HalfCircle,194,166,109,255,13
WallDown_½x,5,132,6,255,4
Stone_E,140,128,120,255,13
Plant_Climber_Decal,230,196,157,255,13
Door_Windowed_Brown,237,70,92,255,4
RoofLow_End_8x,15,214,151,255,4
WallUp_Corner_In,83,163,247,255,4
RoofLow_8x,162,243,91,255,4
WallUp_Window_Single_B_3x,201,205,135,255,4
WallUp_Window_Double_3x,102,98,78,255,4
Door_Garage_Brown_5x,6,30,183,255,4
Wall_Door_Single_A_3x,131,171,93,255,4
RoofLow_7x,60,56,188,255,4
RoofLow_End_7x,84,141,250,255,4
Floor_Grass_2x4,185,159,143,255,13
Roof_Extra_Window_Double,184,218,231,255,4
Door_Windowed,0,22,218,255,4
Door_Garage_3x,210,65,75,255,4
Wall_Door_Garage_A_4x,230,213,123,255,4
Car_Gray,231,129,250,255,1
Car_Red,102,152,196,255,1
Stop_Sign,192,184,43,255,14
Tree_Trunk,248,160,197,255,8
TreeSmall_Skinned,66,247,227,255,8
SMPL_Female_Autonomous,35,213,234,255,20
SMPL_Male_Autonomous,35,213,234,255,20
