#NOTE: most objects use renderer centroid position. collider or mesh centroid is used where no renderer is available, which is similar. otw we use transform.position which is not guaranteed to be the centroid. check comment col for notes.
#name,x,y,z,qx,qy,qz,qw,comment
Floor_Grass_8x8 (31),-60,0.5,47,0.7071068,0,0,-0.7071068,
Plant_FlowersRed (3),-24.3559,1.106995,27.15377,0.6532815,-0.2705981,-0.2705981,-0.6532815,
Plant_Box_D (3),-23.86209,0.8777007,-2.697951,-0.5,0.5,0.5000001,0.4999999,
Plant_HedgeBush (4),-34,1.695904,-2.65,-0.5,-0.5,-0.5,0.5,
Road_4x,-69.00041,0.2496783,4.499999,0.7071068,0,0,-0.7071068,
Floor_Grass_8x8 (20),-4,0.5,-15,0.7071068,0,0,-0.7071068,
Background_Bush_6x (37),10,1.75,53,-0.7071068,0,0,0.7071068,
Floor_Grass_45x45 (13),40.5,0,-66,0.5,-0.5,-0.5,-0.5,
Plant_FlowersRed (13),-22.414,0.9879948,46.7,0.7071068,0,0,-0.7071068,
Background_Bush_6x (35),-68,1.75,-20,-0.7071068,0,0,0.7071068,
Plant_Bush (3),-35.07738,1.20136,-2.435461,-0.6482325,0.2824795,0.2824795,0.6482325,
Porch_4x (2),-22.50182,3.630279,38.47722,-0.5,-0.5,-0.5,0.5,
Stop_Sign (1),-70.96628,1.106831,16.98319,0.5,-0.5,-0.5,-0.5,
Flower_Red_01,-46.74126,0.9715986,-2.482461,-0.7071068,0,0,0.7071068,
Road_8x (7),-94.5,0.2496797,8.003038,0.5,-0.5,-0.5,-0.5,
Lamp_Garden_Pilar,7.207,0.8838775,23.407,0.7071068,0,0,-0.7071068,
Lamp_Garden_Small (15),-26.16788,0.5159017,0.5117537,-0.6533681,0.2186551,0.1509264,0.7088873,
Plant_Grass (18),-15.61256,0.4091277,21.789,-0.7273767,0,0,0.6862385,
Floor_Grass_8x8 (19),4,0.5,-15,0.7071068,0,0,-0.7071068,
FlowerPot,-53.75576,0.6678442,25.16301,-0.7071068,0,0,0.7071068,
Fence_Frontyard_Tile_Left_2x (9),15.15138,0.6866433,2.907361,0,0.7071068,0,0.7071067,
Plant_FlowersRed (20),-27.8655,0.9949948,46.68156,-0.6922944,-0.1439741,-0.1439741,0.6922944,
Fence_Frontyard_Tile_Right_2x (16),-18.59737,0.7026433,20.15639,0,0,0,1,
Road_8x (16),-63.00304,0.2496788,4.499999,0.7071068,0,0,-0.7071068,
Fence_Frontyard_Tile_Left_2x (7),10.25864,0.6866433,3.951384,0,0,0,1,
FenceDark_Frontyard_Tile_Right_2x (3),-10.34437,0.7156433,20.17039,0,0,0,1,
Background_Bush_6x (22),-32,1.75,-20,-0.7071068,0,0,0.7071068,
Plant_Grass_Small (3),-37.76222,0.2533737,6.922414,0.004481085,0.6993384,0.7147633,-0.00438436,
Plant_Grass (64),-18.54792,0.6495985,42.02177,0.7066841,0.0244481,0.02444808,-0.7066841,
Plant_Grass (66),-34.15456,0.6105986,39.67671,0.7071068,0,0,-0.7071068,
Plant_FlowersRedBush (8),-52.36163,0.9695035,-2.805078,-0.3512522,-0.6136953,-0.6136953,0.3512522,
Fence_Frontyard_Tile_Left_2x (4),3.11064,0.6866433,3.951384,0,0,0,1,
FenceDark_Backyard_End (1),-40.5,1.508002,30.5,0,0.7071068,0,0.7071068,
Floor_Grass_8x8 (5),-28,0.5,-7,0.7071068,0,0,-0.7071068,
Plant_Grass (28),-34.93556,0.5944471,25.83328,-0.7110922,0,0,0.7030988,
Lamp_WireHanging_2x (6),-21.54996,3.103767,27.49474,-0.7071068,0,0,0.7071068,
Mailbox (6),-30.04165,0.8882846,16.56488,1.152023E-07,0.7071067,0.7071068,-1.152023E-07,
Plant_Treebush (3),-55.31741,0.9947451,25.09369,0.7071068,0,0,-0.7071068,
Tree_Background (10),60.49065,6.359617,-16.95149,0.06155922,-0.7044219,-0.7044223,-0.06155903,
Plant_FlowersRed (19),-26.0005,0.9949948,46.68156,-0.6922944,-0.1439741,-0.1439741,0.6922944,
Background_House_A (2),-108.8032,5.327052,37.5,0.5,-0.5,-0.5,-0.5,
Car_Red,-7.869889,0.7228397,8.969368,0.4996434,0.5003564,0.5003564,-0.4996432,
Plant_Punjab (3),-51.49829,2.858636,-3.23968,0.7071068,0,0,-0.7071068,
Plant_Grass_Small (34),-27.65604,0.6393594,46.79477,-0.004146156,-0.7070947,-0.7070947,0.004146163,
Road_8x (20),-94.5,0.2496797,32.00304,0.5,-0.5,-0.5,-0.5,
Plant_Lily (8),-18.2634,0.6231025,21.29237,-0.1497974,-0.6910578,-0.6910577,0.1497974,
Tree_Trunk,-47.24466,6.436858,45.18348,-0.7071068,0,0,0.7071068,
Tree_Groundplane,-48.02757,0.5138353,45.02174,-0.7144954,0,0,0.6996403,
Bone02,-48.02842,5.102471,45,0.1453448,-0.2141547,-0.5424337,0.7992362,transform_position
Bone03,-48.02771,5.104191,45,0.2925844,-0.1771221,-0.8038689,0.4866385,transform_position
Bone01,-48.04254,0.5232061,45,9.793883E-06,-9.762231E-06,-0.7082503,0.7059615,transform_position
Tree_Grate,-48.03507,0.5859294,45.00352,-0.7071068,0,0,0.7071068,
TreeLarge_Skinned (9),-96,2.61,90,0,0,0,1,collider_centroid
Tree_Billboard (10),-38.6,5.33,82.7,0,-0.9979077,0,-0.06465496,
Fence_Frontyard_Tile_Left_1x (1),-34.81236,0.7216433,3.994384,0,0,0,1,
Car_Gray,-23.15683,1.006615,22.32392,0.7339206,0,0,-0.6792353,
Lamp_Garden_Small (27),-30.01095,0.7538735,39.83906,-0.492259,-0.09545403,-0.4353826,0.7476708,
PowerPole (1),-73.20246,5.128695,3.758087,-0.5,-0.5,-0.5,0.5,
Plant_Grass (58),-15.69662,0.5949214,30.15057,0.7071068,0,0,-0.7071068,
Floor_Grass_8x8 (32),-68,0.5,47,-0.7071068,0,0,0.7071068,
Plant_Grass (53),-14.49915,0.5946552,44.2151,0.7067078,-0.02375047,-0.02375047,-0.7067078,
