name,red,green,blue,alpha,id
Airventilation_3x,255,20,127,255,1
Airventilation_CrossSection,255,20,127,255,1
AirventilationGrid_A,255,20,127,255,1
AirventilationGrid_B,255,20,127,255,1
Books,250,50,50,255,2
Bookshelf,250,50,50,255,2
Bottle,255,20,127,255,1
Box_Black,255,20,127,255,1
Box_Cardboard,255,20,127,255,1
Box_Gray,255,20,127,255,1
CardboardBox01,255,20,127,255,1
Carpet_End,169,169,169,255,3
Carpet_Full_Short,169,169,169,255,3
Carpet_SingleSmallRound,169,169,169,255,3
Carpet_Tile,169,169,169,255,3
Cart,32,32,32,255,0
CeilingHang01,102,0,204,255,4
CeilingLamp,102,0,204,255,4
CeilingLamp_Embed,102,0,204,255,4
CeilingLamp_Roofpart,102,0,204,255,4
Cell_Bars_Large,32,32,32,255,0
Cell_Bed,32,32,32,255,0
Cell_Complete,32,32,32,255,0
Cell_Shelf,154,229,206,255,9
Cell_Sink,32,32,32,255,0
Cell_Toilet,32,32,32,255,0
Chair_LeatherOffice,102,255,0,255,5
Chair_Spinning,102,255,0,255,5
Chair_Wood,102,255,0,255,5
Closet_Door_L,154,229,206,255,9
Closet_Door_R,154,229,206,255,9
Closet_Metal,32,32,32,255,0
Collider_Backup,32,32,32,255,0
CorkBoard,32,32,32,255,0
Couch_1seat,39,144,65,255,7
Couch_2seat,39,144,65,255,7
Couch_3seat,39,144,65,255,7
Desk,54,176,239,255,16
Door_Bronze_Metal_Window,154,229,206,255,9
Door_Cell,154,229,206,255,9
Door_L,154,229,206,255,9
Door_Metal_Gray,154,229,206,255,9
Door_MetalDark,154,229,206,255,9
Door_R,154,229,206,255,9
Door_Wooden_Black,154,229,206,255,9
Drawer_A,154,229,206,255,9
Drawer_B,154,229,206,255,9
Drawer_C,154,229,206,255,9
Dresser_A_WithBooks,154,229,206,255,9
Elevator,32,32,32,255,0
Elevator_Panel_Inside,32,32,32,255,0
Elevator_Panel_Outside,32,32,32,255,0
ElevatorDoor_L,32,32,32,255,0
ElevatorDoor_R,32,32,32,255,0
ExitSign_A,32,32,32,255,0
ExitSign_B,32,32,32,255,0
ExitWay_Lamp,32,32,32,255,0
Fan_Blades,255,23,23,255,10
FanTable,54,176,239,255,16
File_Papers,255,23,23,255,10
FileFolder,255,23,23,255,10
Files_Drawer,255,23,23,255,10
Flagpole_Wall,32,32,32,255,0
Floor_10x10,124,133,141,255,3
Floor_12x1,124,133,141,255,3
Floor_12x2,124,133,141,255,3
Floor_12x4,124,133,141,255,3
Floor_3x3,124,133,141,255,3
Floor_4x2,124,133,141,255,3
Floor_6x2,124,133,141,255,3
Floor_6x3,124,133,141,255,3
Floor_6x4,124,133,141,255,3
Folder01,255,23,23,255,10
Folder02,255,23,23,255,10
FolderHolder,255,23,23,255,10
FolderHolder_WithFiles,255,23,23,255,10
Hand_Paper,255,23,23,255,10
Keyboard,255,23,23,255,10
Lamp_Desk,54,176,239,255,16
Lamp_Fluorescent_A,62,146,211,255,11
Lamp_Fluorescent_A_Hang,62,146,211,255,11
Lamp_Fluorescent_B,62,146,211,255,11
Lamp_Fluorescent_B_Hang,62,146,211,255,11
Lamp_Fluorescent_C,62,146,211,255,11
Lamp_Fluorescent_C_Hang,62,146,211,255,11
Lamp_Spot,62,146,211,255,11
Lamp_SpotBulb,62,146,211,255,11
Lamp_SquareCeiling,102,0,204,255,4
Laptop_1,255,23,23,255,10
Laptop_2,255,23,23,255,10
LCD_Screen_1,255,23,23,255,10
LCD_Screen_2,255,23,23,255,10
LCD_ScreenSOLO_1,255,23,23,255,10
Leather_Bench,39,144,65,255,7
Metal_Drawer,154,229,206,255,9
Metal_Drawer_SeparateDrawers,154,229,206,255,9
MetalCabinet,154,229,206,255,9
MetalCabinet_GridDoors,154,229,206,255,9
MetalShelf_Open,154,229,206,255,9
MetalShelf_Open_WithProps,154,229,206,255,9
MetalShelf_Signle,154,229,206,255,9
Mouse,255,23,23,255,10
MousePad,255,23,23,255,10
Mug,255,23,23,255,10
Mug_WithPens,255,23,23,255,10
Painting_A,246,188,6,255,12
Painting_B,246,188,6,255,12
Painting_C,246,188,6,255,12
Painting_D,246,188,6,255,12
Painting_Diploma,246,188,6,255,12
Painting_E,246,188,6,255,12
Painting_F,246,188,6,255,12
Painting_G,246,188,6,255,12
Painting_Pic,246,188,6,255,12
PaintingSet_A,246,188,6,255,12
PaintingSet_B,246,188,6,255,12
PaintingSet_C,246,188,6,255,12
PaintingSet_D,246,188,6,255,12
Paper,255,23,23,255,10
Paper01,255,23,23,255,10
Paper02,255,23,23,255,10
PaperBag01,255,23,23,255,10
PC,255,23,23,255,10
Pen,255,23,23,255,10
Pencil,255,23,23,255,10
Phone,255,23,23,255,10
Pipe_Holder,32,32,32,255,0
PipeLargeCeiling2x,102,0,204,255,4
PipeLargeCeiling6x,102,0,204,255,4
Plant_Inside_Large,38,112,233,255,13
Plant_Inside_Small,38,112,233,255,13
Sign_Hanging,175,32,45,255,14
Sink3x,32,32,32,255,0
Stairs_RailingInside_Loop,125,218,3,255,15
Stairs_RailingInside_Top,125,218,3,255,15
Stairs_RailingOutside,125,218,3,255,15
StairsMod_Ground,125,218,3,255,15
StairsMod_Loop,125,218,3,255,15
StairsMod_RailingInside_Loop,125,218,3,255,15
StairsMod_RailingOutside,125,218,3,255,15
StairsMod_StepProtectors,125,218,3,255,15
StairsMod_Top,125,218,3,255,15
Sticker01,246,188,6,255,12
Sticker02,246,188,6,255,12
Sticker03,246,188,6,255,12
f_avg,35,213,234,255,20
m_avg,35,213,234,255,20
Table_Drawer,54,176,239,255,16
Table_DrawerSmall,54,176,239,255,16
Table_Flag,255,23,23,255,10
Table_Main,54,176,239,255,16
Table_MeetingWithChairs,54,176,239,255,16
Table_Office,54,176,239,255,16
Table_OfficeDrawer,54,176,239,255,16
TableScreen_A,244,228,69,255,17
TableScreen_B,244,228,69,255,17
TableScreen_C,244,228,69,255,17
TableScreen_C_Glass,244,228,69,255,17
TableScreen_E,244,228,69,255,17
TableScreen_E_Glass,244,228,69,255,17
TableWooden,54,176,239,255,16
TableWooden_B,54,176,239,255,16
tesse_multiscene_agent,32,32,32,255,0
Toilet,32,32,32,255,0
Toilet_Door,32,32,32,255,0
Toilet_Paper,32,32,32,255,0
Toilet_Partition_End,32,32,32,255,0
Toilet_Partition_Tile,32,32,32,255,0
ToiletSign,32,32,32,255,0
Trashcan,154,38,91,255,18
Trashcan_Metal,154,38,91,255,18
Urinal,32,32,32,255,0
Urinal_Partition,32,32,32,255,0
W_1x,2,103,71,255,19
W_2x_glass_A,2,103,71,255,19
W_2x_glass_B,2,103,71,255,19
W_2x_glass_Door,2,103,71,255,19
W_2x_glass_DoorDouble,2,103,71,255,19
W_3x,2,103,71,255,19
W_3x_Elevator_Door,2,103,71,255,19
W_6x,2,103,71,255,19
W_6x_Door,2,103,71,255,19
W_6x_DoorDouble,2,103,71,255,19
W_6x_DoorWindow_Large,2,103,71,255,19
W_6x_Window_Large_B,2,103,71,255,19
W_6x_Window_MiniDouble,2,103,71,255,19
W_6x_Window_Small,2,103,71,255,19
W_ConnectSeam,2,103,71,255,19
W_Pilar_Large,2,103,71,255,19
W_Pilar_Small,2,103,71,255,19
Water_Dispenser,154,38,91,255,18
Water_DispenserMUG,154,38,91,255,18
WaterSprinkler,32,32,32,255,0
WaterSprinklerPipe_3x,32,32,32,255,0
WaterSprinklerPipe_CornerRight,32,32,32,255,0
WhiteBoard,246,188,6,255,12
WhiteBoard_Walll,246,188,6,255,12
WindowBlinds_A,32,32,32,255,0
WindowBlinds_B,32,32,32,255,0
WindowBlinds_Closed,32,32,32,255,0
WindowBlinds_D,32,32,32,255,0
