#NOTE: most objects use renderer centroid position. collider or mesh centroid is used where no renderer is available, which is similar. otw we use transform.position which is not guaranteed to be the centroid. check comment col for notes.
#name,x,y,z,qx,qy,qz,qw,comment
Floor_12x1 (3),14,3.99973,33.5,-0.5,-0.5,-0.5,0.5,
Paper02 (1),17.84807,2.322078,36.51767,-0.05009227,-0.974404,0.01370959,0.2187236,
W_6x_DoorDouble (2),-15.43676,10.49994,24.5,0,0.7071068,0,0.7071068,
CardboardBox01 (2),13.88732,2.688827,30.22176,-0.004358917,-0.7070934,-0.7070934,0.004358917,
PaperBag01 (4),13.80116,2.744133,31.06934,-0.6749231,-0.2109003,-0.2109002,0.6749231,
PaperBag01 (2),13.83826,1.778133,30.16411,-0.6961197,-0.1241666,-0.1241666,0.6961197,
CardboardBox01 (1),13.88732,1.726827,30.56176,-0.4951159,0.504837,0.5048369,0.4951158,
PaperBag01 (5),13.78987,3.226233,30.72934,0.3740388,-0.6000792,-0.6000792,-0.3740388,
CardboardBox01 (3),13.88732,2.688827,30.69776,-0.7069384,-0.01543367,-0.01543361,0.7069384,
PaperBag01,13.79004,2.261033,31.01171,-0.4256015,-0.56468,-0.56468,0.4256014,
PaperBag01 (6),13.79004,3.226233,31.01171,-0.4256015,-0.56468,-0.56468,0.4256014,
CardboardBox01,13.88732,2.209727,30.32376,-0.4586144,-0.5382126,-0.5382126,0.4586144,
PaperBag01 (1),13.78953,2.261033,30.73041,-0.2386705,-0.6656098,-0.6656098,0.2386705,
CardboardBox01 (4),13.88732,3.174927,30.32376,0.1574612,-0.6893519,-0.6893519,-0.1574612,
PaperBag01 (3),13.79042,1.778133,31.06177,-0.524425,0.474319,0.474319,0.524425,
MetalShelf_Open_WithProps,13.87503,2.317118,30.6235,-0.5000001,-0.5,-0.5,0.5000001,
Sink3x,3.553176,1.901,30.585,-0.5,-0.5,-0.5,0.5,
Floor_6x3 (8),-16.5,12.99973,24.5,-0.5,-0.5,-0.5,0.5,
WindowBlinds_B (2),-0.5323044,3.51477,12.501,-0.5,-0.5,-0.5,0.5,
Chair_Spinning,-3.704208,1.553944,32.11922,0.6730301,-0.2168652,-0.2168651,-0.6730301,
Chair_Wood (1),5.02,1.499696,31.557,-0.5,-0.5,-0.5,0.5,
W_6x (12),-9.5,2.5,9.586702,0,0,0,1,
CeilingLamp_Embed (44),-18.99886,15.99077,32.03268,0.7071068,0,0,-0.7071068,
AirventilationGrid_A (12),-6.5,3.947191,24,0.7071068,0,0,-0.7071068,
W_2x_glass_B,19.5,2.5,41,0.7071068,0,0,-0.7071068,
Lamp_SquareCeiling (3),-19.844,10.59501,33.028,-0.7071068,0,0,0.7071068,
WaterSprinklerPipe_CornerRight,3.480033,3.832861,22.02105,-0.7071068,0,0,0.7071068,
WindowBlinds_D (5),21.637,2.719713,22.62078,-0.7071068,0,0,0.7071067,
Floor_6x3 (11),-19.5,3.99973,24.5,-0.5,-0.5,-0.5,0.5,
Pencil,21.71636,1.997082,29.76492,0.03439686,0.03652695,-0.07872605,0.995633,
Pen,21.70969,1.982888,29.73598,-0.09550801,-0.006769333,-0.07515827,0.9925643,
Mug_WithPens (3),21.698,1.952371,29.748,-0.7071068,0,0,0.7071068,
Mouse,26.48326,1.792095,26.62517,-0.5273033,0.4711171,0.471117,0.5273033,
Trashcan_Metal (3),-1.095,1.39499,4.75,0.7071068,0,0,-0.7071068,
Trashcan_Metal (5),-8.146,1.39499,27.214,0.7071068,0,0,-0.7071068,
W_3x,25,2.5,47.4133,0,1,0,-4.371139E-08,
Keyboard (7),-3.411188,1.785159,37.94736,-0.2814632,-0.6486745,-0.6486744,0.2814633,
AirventilationGrid_B (8),-5.5,3.985444,14,0.7071068,0,0,-0.7071068,
W_6x_Window_Large_B (2),-0.56305,2.5,18.5,0,0.7071068,0,-0.7071068,
WaterSprinkler (4),-5,3.936357,24.5,0.7071068,0,0,-0.7071068,
Laptop_1,17.57,2.064015,34.563,-0.5,-0.5,-0.5,0.5,
W_6x_Door,28.43676,2.499939,37.5,0,0.7071068,0,-0.7071068,
Folder01,-4.737999,1.936398,32.91977,0.01210275,-0.6515088,-0.005450655,-0.7585249,
Folder02,-4.694602,1.933332,32.93142,-1.192093E-07,0.6186725,8.847564E-09,0.7856489,
FolderHolder_WithFiles (2),-4.712,1.937575,32.926,-0.5487822,0.4459128,0.4459127,0.5487821,
W_6x (1),-6.413298,2.5,6.5,0,0.7071068,0,0.7071068,
Paper02 (2),-9.536667,1.775423,32.01799,-0.609986,-0.357655,-0.3576549,0.609986,
Airventilation_3x (1),-3.9925,3.813432,8.5,0.7071068,0,0,-0.7071068,
TableScreen_E (11),-12.5,1.527055,18,0.7071068,0,0,-0.7071068,
Box_Black,28.006,2.402101,32.726,-0.4767036,0.5222583,0.5222583,0.4767036,
Painting_G,3.880976,2.904,29.53746,-0.5,-0.5,-0.5000001,0.4999999,
W_6x_DoorDouble (2),-15.56324,10.49994,24.5,0,0.7071068,0,-0.7071068,
Painting_F,4.641124,2.835,31.50503,0.5,-0.5,-0.5,-0.5,
Couch_1seat (13),6.614841,1.476838,22.15587,-0.7071068,0,0,0.7071068,
Paper01,26.4336,1.77939,25.8547,0.4313443,0.5603055,0.5603054,-0.4313441,
Floor_12x4 (7),22.5,0.9997301,23.5,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
CardboardBox01,-3.278162,1.982928,20.90069,-0.6450286,-0.2897207,-0.2897207,0.6450286,
W_6x (40),28.5,2.5,46.9133,0,1,0,-4.371139E-08,
WaterSprinklerPipe_3x (6),13.5,3.832861,35,-0.5,-0.5,-0.5,0.5,
WindowBlinds_D (4),18.431,2.719713,22.62078,-0.7071068,0,0,0.7071067,
TableScreen_E (1),-5.5,1.527055,13.5,0.5,-0.5,-0.5,-0.5,
Table_Flag (6),-8.235943,1.92719,27.87229,0.5,0.5000001,0.5,-0.5000001,
Files_Drawer (7),13.875,2.175746,46.43719,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Floor_4x2 (1),-18.72773,4.99973,20.5,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
WaterSprinklerPipe_3x (14),8.5,3.832861,22.5,0.5,-0.5,-0.5,-0.5,
Toilet_Partition_Tile (1),-0.9383646,2.350385,30.5489,0.5,-0.5,-0.5,-0.5,
WaterSprinkler (2),-12,3.936357,35,0.7071068,0,0,-0.7071068,
Airventilation_3x,-12.2525,3.813432,38.43,0.7071068,0,0,-0.7071068,
W_3x,-18.7963,10.5,20.5867,0,0,0,1,
