#NOTE: most objects use renderer centroid position. collider or mesh centroid is used where no renderer is available, which is similar. otw we use transform.position which is not guaranteed to be the centroid. check comment col for notes.
#name,x,y,z,qx,qy,qz,qw,comment
One shot audio,-70.58,-6,27.368,0,0,0,1,transform_position
Ground_Dirt_3 (11),-35.34121,-6.990101,-43.09417,1.809995E-06,0,0,1,
Advert3 (2),-2.28,-9.694,21.93961,0,1,0,2.950429E-06,
Wall_Short_05 (7),4,-10,18,-2.18557E-08,-6.005167E-06,1.290079E-13,-1,
Rails_LOD1,-52,-7.012189,107.9981,6.448368E-14,-1,2.185569E-08,2.950429E-06,
Rails_LOD0,-52,-7.012189,107.9981,6.448368E-14,-1,2.185569E-08,2.950429E-06,
Rails_LOD2,-52,-7.018433,107.9981,6.448368E-14,-1,2.185569E-08,2.950429E-06,
Rails (151),-52,-7,108,0,-1,0,2.950429E-06,transform_position
Floor_4x4 (54),-24,-6,40,0,-1,0,1.490116E-07,
Spotlight,-0.5630753,-2.873728,20.198,0.7071067,0,0,0.7071068,transform_position
Lamp1 (55),-0.5630753,-2.056585,20.198,0,0,0,1,
Rails_LOD1,-32,-7.012189,-55.99806,2.185569E-08,0,0,1,
Rails_LOD0,-32,-7.012189,-55.99806,2.185569E-08,0,0,1,
Rails_LOD2,-32,-7.018433,-55.99806,2.185569E-08,0,0,1,
Rails (63),-32,-7,-56,0,0,0,1,transform_position
Ceiling_8x8_LOD1,-50,-8.227346,2,1.27986E-06,-0.7071068,1.27986E-06,0.7071068,
Ceiling_8x8_LOD0,-50,-8.227346,2,1.27986E-06,-0.7071068,1.27986E-06,0.7071068,
Ceiling_8x8 (24),-50,-8,2,0,-0.7071068,0,0.7071068,transform_position
Floor_4x4 (105),-76,-6,40,0,0.7071067,0,0.7071068,
Light Probe Group,-75.687,-4.901005,11.987,1.27986E-06,0.7071067,-1.27986E-06,0.7071068,transform_position
Point light,-76.536,-4.855002,11.987,1.27986E-06,0.7071067,-1.27986E-06,0.7071068,transform_position
VendingMachine2 (3),-77.38496,-4.74734,11.88965,1.27986E-06,0.7071067,-1.27986E-06,0.7071068,
Rails_LOD1,-32,-7.012189,-79.99806,2.185569E-08,0,0,1,
Rails_LOD0,-32,-7.012189,-79.99806,2.185569E-08,0,0,1,
Rails_LOD2,-32,-7.018433,-79.99806,2.185569E-08,0,0,1,
Rails (67),-32,-7,-80,0,0,0,1,transform_position
Metal_Pillar_SM,-10.06666,-9.956507,18.24317,1.809995E-06,0,0,1,
Tunnel_Service_Handrails (4),-28.32497,-5.172566,-58.00001,0,-0.7071058,0,0.7071078,
Ad_Movie,-84.61619,-11.07621,7.039044,1.875621E-06,0.9927663,0.1200628,4.335955E-07,
Wall_Short_04 (9),-16,-4,134,2.18557E-08,1.490116E-08,-4.440892E-16,1,
Floor_4x4 (168),-72,-8,48,0,0.7071067,0,0.7071068,
Vent_Smoke (3),-23.33981,-3.481,-76.243,0,0.7071067,0,0.7071068,
Rails_LOD1,-48,-7.012189,52.00194,2.185569E-08,0,0,1,
Rails_LOD0,-48,-7.012189,52.00194,2.185569E-08,0,0,1,
Rails_LOD2,-48,-7.018433,52.00194,2.185569E-08,0,0,1,
Rails (48),-48,-7,52,0,0,0,1,transform_position
Floor_4x4_2 (28),-12,-12,20,0,0,0,1,
Rails_LOD1,-52,-7.012189,-56.00194,6.448368E-14,-1,2.185569E-08,2.950429E-06,
Rails_LOD0,-52,-7.012189,-56.00194,6.448368E-14,-1,2.185569E-08,2.950429E-06,
Rails_LOD2,-52,-7.018433,-56.00194,6.448368E-14,-1,2.185569E-08,2.950429E-06,
Rails (116),-52,-7,-56,0,-1,0,2.950429E-06,transform_position
Floor_Platform_NOCable (1),-36,-6.499993,52,0,0.7071067,0,0.7071068,
Wall_Platform_Short_04 (3),-34.13539,-4.5,132,1.545433E-08,0.7071058,-1.545429E-08,0.7071078,
Rails_LOD1,-32,-7.012189,28.00194,2.185569E-08,0,0,1,
Rails_LOD0,-32,-7.012189,28.00194,2.185569E-08,0,0,1,
Rails_LOD2,-32,-7.018433,28.00194,2.185569E-08,0,0,1,
Rails (9),-32,-7,28,0,0,0,1,transform_position
Vent_SM (1),-45.28337,-2.017272,-5.983655,0,-5.960465E-08,0,1,
Floor_4x4_4 (15),28,-12,16,0,0,0,1,
MetalPillar2_SM (1),-28.0388,-3.964401,-96.471,6.247146E-08,-0.7071069,-0.7071067,2.086162E-07,
Floor_4x4_2 (24),-20,-12,20,0,0,0,1,
Ceiling_8x8_LOD1,-38,-0.2273472,54,0,-1,1.809995E-06,0,
Ceiling_8x8_LOD0,-38,-0.2273472,54,0,-1,1.809995E-06,0,
Ceiling_8x8 (7),-38,0,54,0,-1,0,0,transform_position
Floor_4x4 (18),-20,-6,-24,0,0,0,1,
Exitsign2,-21.85354,-0.8692796,45.489,1.809995E-06,0,0,1,
Pipes_LOD0,-23.88822,-2.082258,-10.02283,0.707108,0,0,0.7071056,
Pipes_LOD1,-23.88407,-2.082257,-10.02283,0.707108,0,0,0.7071056,
Pipes (1),-23.5,-2.04,-14,0.7071067,0,0,0.7071068,transform_position
Spotlight,-57.19,-0.8327436,35.84,0.5,-0.5,0.4999999,0.5000001,transform_position
Lamp1 (44),-57.19,-0.01560062,34.5,0,-0.7071067,0,0.7071068,
AC_Pipe_LOD0,0.1200002,-8.241249,14.11,1.27986E-06,-0.7071068,1.27986E-06,0.7071068,
AC_Pipe_LOD1,0.1200002,-8.241249,14.11,1.27986E-06,-0.7071068,1.27986E-06,0.7071068,
AC_Pipe (4),0.1199999,-8.318,12.11,0,-0.7071068,0,0.7071068,transform_position
